x,y,z,z-max,Material,Nº de Registro,Sond-Quad,Sondagem,Quadrante,Quantia,Observações,Características,Data,Nº de Campo,Sítio,Pesquisa,Nº do saco,Peça Marc.
1445.0,442.0,-88.5,,Cerâmica,TQ/II/00001,SON25-Q3,25,3,6.0,,,1º dia,1.0,Taquarí,,1,X
1904.0,466.0,-77.0,,Cerâmica,TQ/II/00002,SON25-Q4,25,4,2.0,,,1º dia,19.0,Taquarí,,2,X
1465.0,451.0,-91.5,,Cerâmica,TQ/II/00003,SON25-Q3,25,3,1.0,,,1º dia,3.0,Taquarí,,3,X
2447.0,492.0,-83.0,,Cerâmica,TQ/II/00004,SON25-Q5,25,5,1.0,,,1º dia,4.0,Taquarí,,4,X
2437.0,440.0,-76.0,,Cerâmica,TQ/II/00005,SON25-Q5,25,5,1.0,,,1º dia,20.0,Taquarí,,5,X
1474.0,491.0,-94.0,,Cerâmica,TQ/II/00006,SON25-Q3,25,3,1.0,,,1º dia,6.0,Taquarí,,6,X
1472.0,473.0,-92.0,,Cerâmica,TQ/II/00007,SON25-Q3,25,3,1.0,,Borda,1º dia,7.0,Taquarí,,7,X
,,0.0,,Cerâmica,TQ/II/00008,Errada,Errada,Errada,1.0,"Plotagem errada (SON15-Q3 [56, 66, 93.5])",,1º dia,8.0,Taquarí,,8,X
,,0.0,15.0,Cerâmica,TQ/II/00009,SON25-Q3,25,3,1.0,Peneira,,1º dia,10.0,Taquarí,,9,X
1913.0,490.0,-74.0,,Cerâmica,TQ/II/00010,SON25-Q4,25,4,1.0,,,1º dia,11.0,Taquarí,,10,X
1906.0,428.0,-71.0,,Cerâmica,TQ/II/00011,SON25-Q4,25,4,2.0,,,1º dia,12.0,Taquarí,,11,X
,,0.0,,Cerâmica,TQ/II/00012,SON25-Q3,25,3,3.0,"Não consta o valor de x (SON25-Q3 [?, 04, 97])",,1º dia,15.0,Taquarí,,12,X
1450.0,453.0,-91.5,,Cerâmica,TQ/II/00013,SON25-Q3,25,3,2.0,,,1º dia,16.0,Taquarí,,13,X
1931.0,427.0,-80.0,,Cerâmica,TQ/II/00014,SON25-Q4,25,4,3.0,,"Borda, pintura",1º dia,17.0,Taquarí,,14,X
1415.0,427.0,-92.0,,Cerâmica,TQ/II/00015,SON25-Q3,25,3,2.0,,,1º dia,18.0,Taquarí,,15,X
,,0.0,15.0,Cerâmica,TQ/II/00016,SON25-Q3,25,3,2.0,Peneira,,1º dia,,Taquarí,,16,X
,,0.0,15.0,Cerâmica,TQ/II/00017,SON25-Q3,25,3,1.0,Peneira,,1º dia,,Taquarí,,17,X
,,0.0,15.0,Cerâmica,TQ/II/00018,SON25-Q3,25,3,1.0,Peneira,,1º dia,,Taquarí,,18,X
,,0.0,15.0,Cerâmica,TQ/II/00019,SON25-Q4,25,4,2.0,Peneira,"Borda, pintura",1º dia,,Taquarí,,19,X
,,0.0,15.0,Cerâmica,TQ/II/00020,SON25-Q5,25,5,6.0,Peneira,"Borda, pintura",1º dia,,Taquarí,,20,X
,,0.0,,Cerâmica,TQ/II/00021,Errada,Errada,Errada,17.0,Peneira – Plotagem errada (SON15-Q3 [0-15]),"Borda, pintura",1º dia,,Taquarí,,21,X
,,0.0,15.0,Cerâmica,TQ/II/00022,SON25-Q5,25,5,12.0,Peneira,"Borda, pintura",1º dia,,Taquarí,,22,X
,,0.0,,Cerâmica,TQ/II/00023,Errada,Errada,Errada,1.0,Solta no container,,1º dia,,Taquarí,,23,X
1495.0,487.0,-150.0,,Cerâmica,TQ/II/00024,SON25-Q3,25,3,1.0,,,2º dia,21.0,Taquarí,,24,X
2440.0,423.0,-78.0,,Cerâmica,TQ/II/00025,SON25-Q5,25,5,1.0,,,2º dia,23.0,Taquarí,,25,X
1947.0,422.0,-92.0,,Cerâmica,TQ/II/00026,SON25-Q4,25,4,6.0,,,2º dia,24.0,Taquarí,,26,X
2478.0,450.0,-77.0,,Cerâmica,TQ/II/00027,SON25-Q5,25,5,1.0,,"Borda, pintura",2º dia,25.0,Taquarí,,27,X
1496.0,490.0,-106.0,,Cerâmica,TQ/II/00028,SON25-Q3,25,3,1.0,,,2º dia,26.0,Taquarí,,28,X
2486.0,420.0,-81.0,,Cerâmica,TQ/II/00029,SON25-Q5,25,5,1.0,,,2º dia,27.0,Taquarí,,29,X
